@relation beansData

@attribute LENGTH REAL
@attribute BREADTH REAL
@attribute WIDTH REAL
@attribute NAME {BIG_DRUM,SMALL_DRUM,oloyin_beans,MILK_BEANS}

@data
9.95,7.44,7.08,BIG_DRUM
8.22,6.17,5.99,BIG_DRUM
8.80,6.42,6.41,BIG_DRUM
8.78,6.34,6.58,BIG_DRUM
8.74,6.69,6.60,BIG_DRUM
10.15,6.93,6.82,BIG_DRUM
10.15,6.88,6.57,BIG_DRUM
9.95,6.5,5.53,BIG_DRUM
9.37,6.15,5.98,BIG_DRUM
9.77,6.24,6.20,BIG_DRUM
10.19,7.01,6.92,BIG_DRUM
8.73,6.3,5.98,BIG_DRUM
9.56,12.02,11.94,BIG_DRUM
13.85,11.15,11.02,BIG_DRUM
9.04,6.55,6.61,BIG_DRUM
9.93,6.64,6.46,BIG_DRUM
9.65,7.12,7.16,BIG_DRUM
10.66,7.39,6.49,BIG_DRUM
10.56,7.35,7.24,BIG_DRUM
8.07,5.97,5.96,BIG_DRUM
9.11,6.74,6.72,BIG_DRUM
9.71,7.48,7.40,BIG_DRUM
10.72,7.3,7.05,BIG_DRUM
11.44,7.45,7.44,BIG_DRUM
10.46,7.62,7.57,BIG_DRUM
8.98,6.42,6.35,BIG_DRUM
9.55,6.64,6.39,BIG_DRUM
10.41,7.59,7.51,BIG_DRUM
9.56,7.77,7.59,BIG_DRUM
10.60,6.71,6.30,BIG_DRUM
9.52,7.19,6.91,BIG_DRUM
9.90,7.73,7.71,BIG_DRUM
8.76,6.1,5.81,BIG_DRUM
8.73,6.43,6.22,BIG_DRUM
9.62,6.69,6.46,BIG_DRUM
8.53,6.88,6.56,BIG_DRUM
9.33,6.94,6.92,BIG_DRUM
9.50,7.29,7.05,BIG_DRUM
8.60,6.48,6.27,BIG_DRUM
7.83,6.52,6.50,BIG_DRUM
9.69,7.25,7.20,BIG_DRUM
9.11,7.3,7.28,BIG_DRUM
9.62,5.98,5.80,BIG_DRUM
7.84,5.65,5.76,BIG_DRUM
9.27,7.14,6.73,BIG_DRUM
8.86,6.95,6.73,BIG_DRUM
9.27,6.52,6.47,BIG_DRUM
8.69,6.58,6.31,BIG_DRUM
9.07,7.44,6.32,BIG_DRUM
9.04,5.61,5.54,BIG_DRUM
8.56,6.35,6.22,BIG_DRUM
7.89,6.85,6.34,BIG_DRUM
7.84,6.18,6.10,BIG_DRUM
9.50,6.09,5.52,BIG_DRUM
9.04,7.09,6.80,BIG_DRUM
8.04,6.49,5.48,BIG_DRUM
8.65,6.16,5.93,BIG_DRUM
9.00,5,5.66,BIG_DRUM
8.69,6.21,5.11,BIG_DRUM
9.06,6.12,5.80,BIG_DRUM
8.72,6.48,6.28,BIG_DRUM
7.84,5.71,5.27,BIG_DRUM
7.75,5.42,5.34,BIG_DRUM
7.98,7.11,5.93,BIG_DRUM
8.93,6.25,6.09,BIG_DRUM
7.69,5.88,6.11,BIG_DRUM
8.34,7.76,6.38,BIG_DRUM
10.55,6.47,6.60,BIG_DRUM
9.71,7.17,7.18,BIG_DRUM
8.93,7.61,7.59,BIG_DRUM
9.79,6.92,7.35,BIG_DRUM
9.94,7.76,7.43,BIG_DRUM
8.41,7.37,6.94,BIG_DRUM
8.56,6.44,6.15,BIG_DRUM
9.51,7.26,7.11,BIG_DRUM
10.57,6.73,6.07,BIG_DRUM
8.77,5.94,5.57,BIG_DRUM
9.58,6.93,6.44,BIG_DRUM
9.29,7.03,6.39,BIG_DRUM
9.42,7.12,7.10,BIG_DRUM
9.70,7.3,7.09,BIG_DRUM
9.53,6.9,6.44,BIG_DRUM
12.03,8.16,7.02,BIG_DRUM
10.38,7.34,6.06,BIG_DRUM
9.50,6.36,6.23,BIG_DRUM
9.80,6.82,6.44,BIG_DRUM
8.96,6.98,6.96,BIG_DRUM
10.77,7.83,7.67,BIG_DRUM
9.14,7.05,6.89,BIG_DRUM
9.76,6.39,5.80,BIG_DRUM
9.82,6.98,6.66,BIG_DRUM
10.06,7.13,6.90,BIG_DRUM
9.48,7.33,7.22,BIG_DRUM
9.87,7.12,6.65,BIG_DRUM
8.68,6.79,6.42,BIG_DRUM
10.21,7.85,7.61,BIG_DRUM
9.40,6.67,6.46,BIG_DRUM
9.76,6.64,6.31,BIG_DRUM
9.82,7.53,7.34,BIG_DRUM
8.88,6.46,6.36,BIG_DRUM
10.24,7.37,7.24,BIG_DRUM
10.92,7.55,7.13,BIG_DRUM
10.00,7.16,6.92,BIG_DRUM
11.15,8.1,7.94,BIG_DRUM
9.57,7.41,7.31,BIG_DRUM
9.47,7.07,7.01,BIG_DRUM
10.95,7.39,7.15,BIG_DRUM
9.08,7.35,7.03,BIG_DRUM
9.13,6.33,6.21,BIG_DRUM
9.59,7.35,7.30,BIG_DRUM
9.60,7.09,6.95,BIG_DRUM
7.62,6.87,6.81,BIG_DRUM
9.79,7.25,6.84,BIG_DRUM
10.14,8.18,7.93,BIG_DRUM
9.02,6.84,6.82,BIG_DRUM
9.02,7.65,7.40,BIG_DRUM
8.99,7.28,7.25,BIG_DRUM
9.20,7.33,7.12,BIG_DRUM
10.35,6.35,6.31,BIG_DRUM
8.70,5.8,5.74,BIG_DRUM
9.39,7.24,6.88,BIG_DRUM
